"ccg_code","registered","estimated","prevalence"
"00C",533,83359.1,6.39402296809826
"00D",1502,229111.6,6.55575710701684
"00F",753,166003.22,4.53605658974567
"00G",795,121909.85,6.52121219081149
"00H",764,101653.6,7.51572005320028
"00J",829,197181.9,4.20423984148646
"00K",1013,225160.8,4.49900693193487
"00L",1633,260533,6.26791999477993
"00M",1316,226577.2,5.80817487372957
"00N",641,123325.7,5.19761898776978
"00P",1274,227778.3,5.59315790836967
"00Q",619,126077.04,4.90969648399106
"00R",740,137085.98,5.39807207126506
"00T",909,227182.59,4.00118688672402
"00V",745,151631.37,4.91323134520251
"00W",626,161713.916,3.87103358501318
"00X",695,137426.63,5.05724399994382
"00Y",827,181288.154,4.56179834011659
"01A",1391,289395.211,4.80657573839396
"01C",570,162486.64,3.50798071767623
"01D",865,171282.445,5.05013809208527
"01E",653,164322.31,3.97389739713372
"01F",638,99863.457,6.38872335452998
"01G",877,192175.7,4.56353222597862
"01H",1997,424241.629,4.707223109404
"01J",820,125995.72,6.50815757868601
"01K",606,128213.43,4.72649394061137
"01M",576,135609.42,4.24749254144734
"01N",594,128624.84,4.61808154630163
"01R",497,137416.45,3.6167431191826
"01T",597,122827.44,4.86047743077605
"01V",654,101793.86,6.4247489976311
"01W",973,237240.12,4.10132990996632
"01X",797,153440.542,5.19419437400058
"01Y",820,188242.309,4.35608766358683
"02A",623,182607.87,3.41168209234356
"02D",367,80386.48,4.56544433840118
"02E",609,154695.822,3.93675790416628
"02F",784,203421.338,3.85406962567516
"02G",391,88710.401,4.40760041204188
"02H",1297,253237.28,5.12167876704409
"02M",449,124963.36,3.59305319575274
"02N",410,123033.42,3.33242788829247
"02P",899,194680.034,4.61783358842027
"02Q",553,88913.63,6.21951887466522
"02R",1431,248659.2,5.75486448922863
"02T",798,165614.252,4.81842589247693
"02V",608,158963.04,3.82478845397018
"02W",356,70666.4,5.0377548594523
"02X",1240,243315.87,5.09625615460266
"02Y",1148,243769.583,4.7093652369254
"03A",1059,186238.17,5.68626721364369
"03C",935,285084.64,3.27972773278841
"03D",579,115362.05,5.01898154549091
"03E",751,129050.8,5.81941375024409
"03F",894,225419.579,3.96593767039198
"03G",977,195350.41,5.00126925763811
"03H",754,131299.37,5.74260181141768
"03J",969,138706.095,6.98599437897808
"03K",584,133600.218,4.37125035230107
"03L",1167,200903.42,5.8087612445821
"03M",475,96156.01,4.93988883274171
"03N",2309,447012.91,5.16539891431771
"03Q",878,272829.226,3.21813030397264
"03R",1492,278984.7,5.34796352631524
"03T",997,197044.16,5.05977949308419
"03V",165,39736.8,4.15232228060639
"03W",956,250792.6,3.81191470561731
"03X",423,77818.64,5.43571565887042
"03Y",532,82044.58,6.48427964406668
"04C",1408,278164,5.06176212594009
"04D",813,177550.71,4.57897352255026
"04E",957,145287.8,6.58692608739344
"04F",707,198698.3,3.55815827312061
"04G",2204,484817.98,4.54603601953871
"04H",559,101744.65,5.49414637526396
"04J",1191,233395.04,5.1029362063564
"04K",1327,264096.53,5.02467790849051
"04L",469,115482.32,4.06122772732657
"04M",324,75435.3,4.29507140556212
"04N",387,97247.7,3.97952856468585
"04Q",402,102653,3.9161057153712
"04R",1919,413347.556,4.64258218572847
"04V",1206,290943.2,4.14513898245431
"04W",2118,442845.57,4.78270562805901
"04X",1040,181519.31,5.72941798864264
"04Y",482,104589.3,4.60850201693672
"05A",1450,356195.1,4.07080277072874
"05C",1196,249707.85,4.78959712319817
"05D",463,104747.81,4.42014014421877
"05E",414,104324.38,3.96839166453709
"05F",806,147014.94,5.48243600276271
"05G",771,168974.35,4.56282270060515
"05H",636,145190.45,4.38045339758917
"05J",513,135341.71,3.79040578104119
"05L",1870,399156.71,4.68487677433758
"05N",1309,239775.252,5.45927900849417
"05P",841,183501.634,4.58306545651795
"05Q",625,167642.81,3.72816466152053
"05R",772,218280.57,3.53673256396573
"05T",952,233428.66,4.07833382584641
"05V",341,117849.24,2.89352735749505
"05W",1457,215594.86,6.75804608699855
"05X",507,131769.11,3.84763925323621
"05Y",841,207191.85,4.05903996706434
"06A",977,204674.23,4.7734392356087
"06D",466,90992.28,5.12131358836156
"06F",1336,335212.09,3.98553644052635
"06H",2454,667082.274,3.67870665380624
"06K",1775,437701.49,4.05527520594001
"06L",1094,305789.25,3.57762740187891
"06M",922,186653.39,4.93963704597061
"06N",1843,460129.07,4.00539787673054
"06P",545,155112.347,3.51358231978786
"06Q",1059,297642.34,3.55796154539035
"06T",1750,259103.49,6.75405800207477
"06V",876,138209.67,6.33819616239587
"06W",846,163970.6,5.15946151322249
"06Y",760,174513.5,4.35496394261762
"07G",488,122223,3.9927018646245
"07H",552,225830.1,2.44431543890739
"07J",602,132534.05,4.54222895927499
"07K",792,188787.166,4.19520043009703
"07L",552,141381,3.90434358223524
"07M",1015,286083.86,3.54791074197615
"07N",541,178418.95,3.03218912565061
"07P",949,280379.55,3.38469763575839
"07Q",752,255078.7,2.94810974024879
"07R",458,202427,2.26254402821758
"07T",751,215961.9,3.47746523808135
"07V",1483,297797.087,4.97990096189222
"07W",719,298503.749,2.40867996602616
"07X",776,221360.32,3.50559666700879
"07Y",606,203397.49,2.97938779873832
"08A",759,211081.039,3.59577536474036
